LISTE DES CENTRES DE LA PETITE ENFANCE ET GARDERIES EN FONCTION,,,,,,,,,,,,,
Mise à jour le 1er novembre 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Coordonnées géographiques,ARTM
GARDERIE ANGELUS INC.,16 - Montérégie,"2525A, rue Du Pont",Marieville,J3M 0C5,"(450) 708-2525, poste 2",,info@garderieangelus.com,GARD,80,10,CR,,0
GARDERIE L'ANGE RUMIEL INC.,16 - Montérégie,"2525 B, rue Dupont",Marieville,J3M 0C5,(450) 708-2525,(450) 708-2526,info@garderieangerumiel.com,GARD,80,20,,,0
CPE LES COPAINS D'ABORD INSTALLATION MCMASTERVILLE,16 - Montérégie,"149, rue du Purvis Club",McMasterville,J3G 6S5,(450) 464-7854,(450) 464-7848,france.bertrand@cpelescopainsdabord.com,CPE,54,10,CR,,1
CPE LES COPAINS D'ABORD INSTALLATION MCMASTERVILLE 2,16 - Montérégie,"151, rue du Purvis Club",McMasterville,J3G 6S5,(450) 464-7854,(450) 464-7848,france.bertrand@cpelescopainsdabord.com,CPE,45,15,CR,,1
CPE LES COPAINS D'ABORD INSTALLATION MCMASTERVILLE 3,16 - Montérégie,"155, rue du Purvis Club",McMasterville,J3G 6S5,,,france.bertrand@cpelescopainsdabord.com,CPE,55,15,CR,,1
GARDERIE LE PETIT SPORT,16 - Montérégie,"759, boulevard Constable",McMasterville,J3G 0K2,,,garderie@lepetitsport.ca,GARD,66,10,,,1
LES FRIMOUSSES DE LA VALLÉE,16 - Montérégie,"300, rue des Camélias",McMasterville,J3G 5B1,,(450) 467-9048,frimousses@cpelesfrimousses.com,CPE,60,10,CR,,1
C.P.E. PATACHOU,16 - Montérégie,"962, boulevard Saint-Jean-Baptiste",Mercier,J6R 2K8,(450) 691-2457,(450) 691-9965,direction@cpepatachou.com,CPE,50,5,CR,,1
C.P.E. PATACHOU,16 - Montérégie,"1, rue de Batiscan",Mercier,J6R 2P2,(450) 698-1991,(450) 698-0440,direction@cpepatachou.com,CPE,80,10,CR,,1
C.P.E. PATACHOU,16 - Montérégie,"3, rue Batiscan",Mercier,J6R 2P2,(450) 698-1991,,direction@cpepatachou.com,CPE,67,15,CR,,1
GARDERIE BABYNOU,16 - Montérégie,"869, rue Saint-Jean-Baptiste",Mercier,J6R 2L3,,,,GARD,35,15,CR,,1
GARDERIE GÉNIES TOUT PETITS II,16 - Montérégie,"823, boulevard St-Jean Baptiste",Mercier,J6R 1E4,(450) 671-0006,(450) 691-0050,direction2@garderiestoutpetits.com,GARD,80,20,CR,,1
GARDERIE LA PETITE ÉTOILE MAGIQUE,16 - Montérégie,"103, rue F.P.-Labrie",Mercier,J6R 0G3,(450) 691-1788,,lapetiteetoilemagique@outlook.com,GARD,98,20,CR,,1
GARDERIE MONSIEUR PELUCHE INC.,16 - Montérégie,"8, rue Josime-Pelletier",Mercier,J6R 0B1,(450) 698-2121,,kassia@hmpitre.ca,GARD,78,10,,,1
GARDERIE ÉDUCATIVE MILLE ET UN SOUVENIRS,16 - Montérégie,"786, boulevard Saint-Jean-Baptiste",Mercier,J6R 1E8,(450) 691-0218,,info@1001souvenirs.ca,GARD,78,10,,,1
GÉNIE TOUT PETIT,16 - Montérégie,"869, boulevard Saint-Jean-Baptiste, porte 102",Mercier,J6R 2K8,(450) 699-2229,,direction@garderiegeniestoutpetits.com,GARD,80,15,,,1
GARDERIE LE PETIT COCHON ROSE,16 - Montérégie,"225, rue Saint-Joseph",Mont-Saint-Grégoire,J0J 1K0,(450) 358-1581,,garderiepetitcochonrose@gmail.com,GARD,52,10,,,0
ACADÉMIE GUYLAINE BÉDARD,16 - Montérégie,"55, rue Sainte-Anne",Mont-Saint-Hilaire,J3H 3A3,(450) 813-9333,(450) 813-0838,gb@academieguylainebedard.com,GARD,80,10,,,1
CENTRE DE LA PETITE ENFANCE JOUJOU,16 - Montérégie,"588, cours de la Raffinerie",Mont-Saint-Hilaire,J3H 0C8,,,Info@cpejoujou.ca,CPE,80,15,CR,,1
CENTRE DE LA PETITE ENFANCE L'APPRENTI-SAGE,16 - Montérégie,"293, rue Savoy",Mont-Saint-Hilaire,J3H 4W6,(450) 467-3498,,dg@cpeapprentisage.com,CPE,64,5,CR,,1
CENTRE DE LA PETITE ENFANCE L'APPRENTI-SAGE,16 - Montérégie,"495, rue des Falaises",Mont-Saint-Hilaire,J3H 5R7,,,dg@cpeapprentisage.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE L'APPRENTI-SAGE,16 - Montérégie,"500, rue Jolliet",Mont-Saint-Hilaire,J3H 4X2,(450) 464-3786,(450) 467-9577,dg@cpeapprentisage.com,CPE,64,5,CR,,1
CENTRE DE LA PETITE ENFANCE ROULE TA POMME INC.,16 - Montérégie,"911, rue de la Pommeraie",Mont-Saint-Hilaire,J3H 5E5,(450) 536-7666,(450) 536-1111,msh@rouletapomme.com,CPE,80,10,CR,,1
GARDERIE DE LA MONTAGNE MAGIQUE,16 - Montérégie,"162, rue Sainte-Thérèse, suite 1",Mont-Saint-Hilaire,J3H 2R4,(450) 813-6279,(450) 813-3438,administration@garderiedelamontagnemagique.com,GARD,80,15,,,1
GARDERIE DU CHEVAL BLANC,16 - Montérégie,"600, boulevard Sir Wilfrid-Laurier",Mont-Saint-Hilaire,J3H 4X6,(514) 506-8819,,juliemartel@msn.com,GARD,80,15,,,1
GARDERIE LES PETITS INVINCIBLES,16 - Montérégie,"28, rue Brunet",Mont-Saint-Hilaire,J3H 0M7,,,lespetitsinvincibles@gmail.com,GARD,80,10,,,1
LA CLÉ DES CHAMPS,16 - Montérégie,"386, rue de l'Église",Napierville,J0J 1L0,(450) 245-3975,(450) 245-1273,dg@cpejeunespousses.ca,CPE,70,10,CR,,0
CENTRE DE LA PETITE ENFANCE L'ILE AUX TRÉSORS,16 - Montérégie,"1211, boulevard Virginie-Roy",Notre-Dame-de-l'Île-Perrot,J7V 9A1,(514) 425-0444,,martine@cpeileauxtresors.ca,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE L'ÎLE AUX TRÉSORS,16 - Montérégie,"1200, boulevard Virginie-Roy",Notre-Dame-de-l'Île-Perrot,J7V 9A1,(514) 425-0444,,,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES PETITS MOUSSES,16 - Montérégie,"2, rue Hubert-Leduc",Notre-Dame-de-l'Île-Perrot,J7V 9E2,(514) 453-6687,,fdamour@cpelespetitsmousses.com,CPE,70,10,CR,,1
CENTRE DE LA PETITE ENFANCE ABRACADABRA,16 - Montérégie,"47, rue Bridge",Ormstown,J0S 1K0,"(450) 829-3801, poste 2",(450) 829-3747,direction@cpeabracadabra.com,CPE,80,10,CR,,0
"ACADÉMIE PRÉSCOLAIRE ""LES TRÉSORS DE LA MONTAGNE""",16 - Montérégie,"506, rue Côté",Otterburn Park,J3H 5T3,,,sbouchard@hotmail.fr,GARD,88,20,CR,,1
CENTRE DE LA PETITE ENFANCE LA PETITE LOUTRE,16 - Montérégie,"250, rue Sharron",Otterburn Park,J3H 5E1,(450) 536-1120,,dl@cpelpl.com,CPE,50,10,CR,,1
CENTRE DE LA PETITE ENFANCE LA PETITE LOUTRE,16 - Montérégie,"385, rue Copping",Otterburn Park,J3H 2H4,(450) 446-1120,,dl@cpelpl.com,CPE,48,5,CR,,1
CENTRE DE LA PETITE ENFANCE LA CLAIRE FONTAINE DE PINCOURT,16 - Montérégie,"263, 5e Avenue",Pincourt,J7V 5L4,(514) 425-2818,,direction@cpelaclairefontaine.ca,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES PETITS MOUSSES,16 - Montérégie,"270, boulevard de l'Île",Pincourt,J7V 3R9,(514) 453-6687,(514) 453-0515,fdamour@cpelespetitsmousses.com,CPE,80,15,CR,,1
GARDERIE ÉDUCTIVE L'ÉLITE 3 PINCOURT INC.,16 - Montérégie,"344, boulevard Cardinal-Léger",Pincourt,J7W 3Z1,(514) 425-0843,(450) 451-5310,marie-claude-hugo@hotmail.com,GARD,66,13,,,1
LES MINIS COURTOIS,16 - Montérégie,"480, avenue Forest",Pincourt,J7W 0K2,(819) 923-6418,,wanglixinp@yahoo.com,GARD,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE MAMIE-POM (LA RIBAMBELLE),16 - Montérégie,"703, rue Martel",Richelieu,J3L 5R7,(450) 658-0660,(450) 658-5434,,CPE,75,15,CR,,1
CENTRE DE LA PETITE ENFANCE LES TOURTERELLES INC.,16 - Montérégie,"126, rue Saint-Jean-Baptiste",Rigaud,J0P 1P0,(450) 451-0025,(450) 451-2250,direction@cpetourterelles.qc.ca,CPE,80,10,CR,,0
GARDERIE ÉDUCATIVE DAMILIA 2,16 - Montérégie,"30A, rue Saint-Jean Baptiste Ouest",Rigaud,J0P 1P0,(450) 451-5011,(450) 451-5371,garderie.educative.damilia@gmail.com,GARD,15,15,,,0
GARDERIE ÉDUCATIVE DAMILIA INC.,16 - Montérégie,"30, rue Saint-Jean Baptiste Ouest",Rigaud,J0P 1P0,(450) 451-5011,(450) 451-5371,garderie.educative.damilia@gmail.com,GARD,80,0,,,0
GARDERIE ÉDUCATIVE WOOHOO,16 - Montérégie,"130, rue Saint-Jean-Baptiste Est",Rigaud,J0P 1P0,(514) 229-7076,(450) 206-4772,garderiewoohoo@gmail.com,GARD,42,10,,,0
CENTRE DE LA PETITE ENFANCE MAMIE-POM (POMME CÂLINS),16 - Montérégie,"160, Amédée-Côté",Rougemont,J0L 1M0,(450) 469-4762,(450) 469-1608,,CPE,39,5,CR,,0
"CENTRE DE LA PETITE ENFANCE ""LA DOUCE COUVÉE""",16 - Montérégie,"260, rue Duchaineau",Roxton Falls,J0H 1E0,,,infocpe@ladoucecouvee.ca,CPE,29,5,CR,,0
CENTRE DE LA PETITE ENFANCE JOIE DE VIVRE LE CHAMP DES RÈVES,16 - Montérégie,"456, rue Saint-Denis",Saint-Alexandre,J0J 1S0,,,marie-josee.boivin@cpejoiedevivre.com,CPE,61,10,CR,,0
CENTRE DE LA PETITE ENFANCE LA PASSERELLE,16 - Montérégie,"187, rue David",Saint-Amable,J0L 1N0,(450) 649-9826,(450) 922-0979,claudette.paquette@cpelapasserelle.com,CPE,88,10,CR,,1
CENTRE DE LA PETITE ENFANCE LA PASSERELLE,16 - Montérégie,"179, rue du Colibris",Saint-Amable,J0L 1N0,"(450) 649-9826, poste 221",(450) 922-0979,cpelapasserelle@videotron.ca,CPE,80,20,CR,,1
CENTRE DE LA PETITE ENFANCE MIEL ET MELON,16 - Montérégie,"333, rue Bianca",Saint-Amable,J0L 1N0,,,,CPE,72,20,CR,,1
LE P'TIT MONDE DE PEGGY 2,16 - Montérégie,"2-520, rue Principale",Saint-Amable,J0L 1N0,(514) 770-8994,,leptitmondedepeggy@gmail.com,GARD,39,5,,,1
ACADÉMIE SEIGNEURIALE INC.,16 - Montérégie,"455, rue Principale",Saint-Basile-le-Grand,J3N 1K5,,,cleblanc@academieseigneuriale.com,GARD,80,14,,,1
"CENTRE DE LA PETITE ENFANCE ""PLAISIR D'ENFANT""",16 - Montérégie,"312, rue Principale",Saint-Basile-le-Grand,J3N 1J8,,,dgplaisirdenfant@gmail.com,CPE,54,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES CONTES DE FÉE INC.,16 - Montérégie,"70, avenue des Pinsons",Saint-Basile-le-Grand,J3N 1L1,(450) 461-1245,(450) 461-9838,cpe.contesdefee@videotron.ca,CPE,60,0,CR,,1
CENTRE DE LA PETITE ENFANCE LES CONTES DE FÉE INC.,16 - Montérégie,"80A, rue Principale",Saint-Basile-le-Grand,J3N 1A6,,,,CPE,65,15,CR,,1
CENTRE DE LA PETITE ENFANCE LES MOUSSES DU MONT INC. INSTALLATION LA BRISE,16 - Montérégie,"126, boulevard des Trinitaires",Saint-Basile-le-Grand,J3N 1C3,(450) 441-6277,(450) 441-5377,direction@cpelesmousses.com,CPE,60,10,CR,,1
GARDERIE LE PETIT CERCLE INC.,16 - Montérégie,"155, boulevard Sir Wilfrid Laurier, locaux 101-102-104",Saint-Basile-le-Grand,J3N 1A9,,,petitcercle_inc@hotmail.com,GARD,42,15,,,1
GARDERIE SPORTIVE LES PETITS TOURNESOLS INC.,16 - Montérégie,"218, rue Audet",Saint-Basile-le-Grand,J3N 1E7,(450) 482-6777,,garderielespetitstournesols17@gmail.com,GARD,40,5,,,1
L'IMAGINETTE INC.,16 - Montérégie,"23, avenue des Ormes",Saint-Basile-le-Grand,J3N 1G4,(450) 461-1632,,imaginette@videotron.ca,GARD,80,15,CR,,1
LES MOUSSAILLONS S.B.L.  INC.,16 - Montérégie,"219, rue Principale",Saint-Basile-le-Grand,J3N 1L6,(450) 482-4374,,lesmoussaillonssbl2014@gmail.com,GARD,80,10,,,1
PREMIÉPAS,16 - Montérégie,"3, rue Daragon",Saint-Basile-le-Grand,J3N 1L5,(450) 461-0971,,dipesha@gmail.com,GARD,34,5,,,1
CENTRE DE LA PETITE ENFANCE JOIE DE VIVRE LES P'TITS BOUTS D'ENTRAIN,16 - Montérégie,"870, rue Principale",Saint-Blaise-sur-Richelieu,J0J 1W0,"(450) 346-4149, poste 411",(450) 291-5670,marie-josee.boivin@cpejoiedevivre.com,CPE,64,15,CR,,0
ACADÉMIE DES SACRÉS-COEURS,16 - Montérégie,"1575, chemin des Vingt",Saint-Bruno-de-Montarville,J3V 4P6,(450) 653-3681,(450) 653-0816,GosselinE@academiedsc.ca,GARD,60,0,,,1
CENTRE DE LA PETITE ENFANCE AU PIED DU MONT,16 - Montérégie,"705, boulevard Clairevue Ouest",Saint-Bruno-de-Montarville,J3V 6B6,"(450) 441-0090, poste 7266",(450) 441-7741,cpeaupieddumont@qc.aira.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES MOUSSES DU MONT INC.  INSTALLATION ALIZÉ,16 - Montérégie,"1750, rue Roberval",Saint-Bruno-de-Montarville,J3V 3R3,(450) 653-4851,(450) 653-8458,direction@cpelesmousses.com,CPE,60,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES MOUSSES DU MONT INC. INSTALLATION ROSE DES VENTS,16 - Montérégie,"775, montée Montarville",Saint-Bruno-de-Montarville,J3V 6L6,(450) 441-4811,(450) 441-4899,direction@cpelesmousses.com,CPE,68,10,CR,,1
CPE LES COPAINS D'ABORD INSTALLATION ST-BRUNO,16 - Montérégie,"421, rue Jeanne-Sauvé",Saint-Bruno-de-Montarville,J3V 6H7,(450) 653-7854,,france.bertrand@cpelescopainsdabord.com,CPE,60,10,CR,,1
GARDERIE LE BOISÉ ENCHANTÉ,16 - Montérégie,"3171, du Sumac",Saint-Bruno-de-Montarville,J3V 0A9,(450) 482-3099,,leboiseenchante@videotron.ca,GARD,80,15,CR,,1
GARDERIE MONTARVILLE INC.,16 - Montérégie,"15, rue Saint-Jacques",Saint-Bruno-de-Montarville,J3V 2E9,(450) 461-0015,(450) 461-0015,garderiemontarville@bellnet.ca,GARD,80,10,CR,,1
GARDERIE OLLI,16 - Montérégie,"1435, rue Roberval",Saint-Bruno-de-Montarville,J3V 3P7,(514) 802-9976,,olligarderie@gmail.com,GARD,49,0,,,1
LES FLAMBOYANTS DE SAINT-BRUNO,16 - Montérégie,"668, montée Montarville",Saint-Bruno-de-Montarville,J3V 6B1,(450) 653-0005,,info@les-flamboyants.com,GARD,80,15,,,1
PREMIÉMOS  (HAPPY LEARNERS ACADEMY),16 - Montérégie,"1460-1466, rue Huet",Saint-Bruno-de-Montarville,J3V 3L5,(450) 653-9840,,premiemos.happylearners@gmail.com,GARD,50,5,,,1
ÉCOLE PRÉ-MATERNELLE TWINKLESTAR INC.,16 - Montérégie,"36, chemin de la Rabastalière",Saint-Bruno-de-Montarville,J3V 1Y8,(450) 461-0606,,directrice@twinklestar.ca,GARD,42,0,,,1
CENTRE DE LA PETITE ENFANCE KALÉIDOSCOPE CHILD CARE CENTER,16 - Montérégie,"78,  rue Saint-Thomas",Saint-Chrysostome,J0S 1R0,(450) 264-4390,(450) 264-6561,,CPE,80,20,CR,,0
LE SERVICE DE GARDE DES SCHTROUMPFS,16 - Montérégie,"582, route 201",Saint-Clet,J0P 1S0,(450) 456-3300,,basma.ouerghi@me.com,GARD,78,15,CR,,0
CENTRE DE LA PETITE ENFANCE KATERI INC.,16 - Montérégie,"333, boulevard Monchamp",Saint-Constant,J5A 2T2,(450) 632-4544,(450) 632-1942,cpekateridg@videotron.ca,CPE,70,10,CR,,1
CPE SOLEIL SOURIANT,16 - Montérégie,"26, montée Lasaline",Saint-Constant,J5A 2A8,(450) 635-2448,(450) 635-2443,dg@cpesoleilsouriant.com,CPE,62,10,CR,,1
GARDERIE BÉBÉKIDZ PLAZA DE LA GARE,16 - Montérégie,"119, rue Saint-Pierre, bureau 101",Saint-Constant,J5A 0M3,(450) 632-4439,(450) 632-1439,stconstant@bebekidz.com,GARD,80,15,,,1
GARDERIE LE PETIT MONDE MARIN,16 - Montérégie,"2, montée des Bouleaux, bureau 110",Saint-Constant,J5A 2N5,(514) 242-9888,(450) 638-9038,garderiepmm@hotmail.com,GARD,100,0,CR,,1
GARDERIE LES MILLE ET UN TRÉSORS,16 - Montérégie,"265, rue Sainte-Catherine",Saint-Constant,J5A 1W2,(450) 632-5190,,pingchichi@gmail.com,GARD,100,20,CR,,1
GARDERIE LES P'TITES BRETELLES 2 INC.,16 - Montérégie,"169A, rue Lasalle",Saint-Constant,J5A 2G8,(450) 845-3377,,huiyan_wu@yahoo.com,GARD,18,0,,,1
GARDERIE LES P'TITES BRETELLES INC.,16 - Montérégie,"169, rue Lasalle",Saint-Constant,J5A 2G8,(450) 845-3377,,huiyan_wu@yahoo.com,GARD,100,10,CR,,1
GARDERIE ÉDUCATIVE LUMIÈRE DE MA VIE LTÉE,16 - Montérégie,"25, rue Saint-Pierre",Saint-Constant,J5A 1B8,(450) 845-7538,,garderie.ldmv@gmail.com,GARD,41,5,,,1
INSTALLATION LA SOURIS DES CHAMPS,16 - Montérégie,"305, chemin Sainte-Catherine",Saint-Constant,J5A 1W2,(450) 635-5266,,abittencourt.cpedg@cpelespetitessouris.com,CPE,86,10,CR,,1
MONCHAMPIGNON,16 - Montérégie,"235, boulevard Monchamp",Saint-Constant,J5A 2R6,(450) 635-3739,(450) 635-7311,abeaudoin@cpelamereschtroumph.ca,CPE,54,10,CR,,1
RONCHAMPIGNON,16 - Montérégie,"169, rue de Ronsard",Saint-Constant,J5A 0K2,(450) 845-1448,(450) 845-4440,abeaudoin@cpelamereschtroumph.ca,CPE,80,20,CR,,1
AU GRÉ DU VENT,16 - Montérégie,"123, Rang Cyr",Saint-Cyprien-de-Napierville,J0J 1L0,(450) 245-3975,(450) 245-1273,dg@cpejeunespousses.ca,CPE,75,15,CR,,0
CENTRE DE LA PETITE ENFANCE MAMIE-POM (LA FRIMOUSSE),16 - Montérégie,"1795, avenue Frère André",Saint-Césaire,J0L 1T0,(450) 469-4774,(450) 469-0628,cpe@mamiepom.com,CPE,47,5,CR,,0
GARDERIE LES CONTES ENCHANTÉS II,16 - Montérégie,"1201-A, avenue Saint-Paul",Saint-Césaire,J0L 1T0,(450) 947-3840,,info@contesenchantes.ca,GARD,16,0,,,0
GARDERIE LES CONTES ENCHANTÉS INC.,16 - Montérégie,"1201, avenue St-Paul",Saint-Césaire,J0L 1T0,(450) 361-2763,,info@contesenchantes.ca,GARD,80,20,,,0
CENTRE DE LA PETITE ENFANCE LE TEMPS D'UN RÊVE,16 - Montérégie,"120, rue Mgr Decelles",Saint-Damase,J0H 1J0,(450) 797-3737,(450) 797-2456,cpeletempsdunreve@cgocable.ca,CPE,60,10,CR,,0
LE CHEVAL MARIN,16 - Montérégie,"25 A, rue Théroux",Saint-David,J0G 1L0,(450) 789-3553,,dg@lapetitemarine.ca,CPE,21,5,CR,,0
LES PETITS DYNO-DENIS,16 - Montérégie,"276, rue du Collège",Saint-Denis-sur-Richelieu,J0H 1K0,(450) 787-3513,(450) 467-9048,frimousses@cpelesfrimousses.com,CPE,66,10,CR,,0
CENTRE DE LA PETITE ENFANCE DOUX RÉVEIL,16 - Montérégie,"1215, rue Du Puits",Saint-Dominique,J0H 1L0,(450) 773-3286,(450) 773-4798,dg@cpedouxreveil.ca,CPE,60,10,CR,,0
ACADÉMIE AU PAS DE GÉANT,16 - Montérégie,"6540, chemin de Chambly",Saint-Hubert,J3Y 3R5,(450) 500-0471,,direction@aupasdegeant.com,GARD,66,0,,,1
ACADÉMIE AU PAS DE GÉANT 2,16 - Montérégie,"6600, chemin Chambly",Saint-Hubert,J3Y 3R5,(450) 486-6699,,claudia.ferraro@aupasdegeant.com,GARD,75,25,,,1
ACADÉMIE MARIE-EMMANUEL,16 - Montérégie,"5455, rue Canon",Saint-Hubert,J3Y 8L8,(450) 656-3223,(450) 500-1213,academie.emmanuel@gmail.com,GARD,78,10,CR,,1
CENTRE DE LA PETITE ENFANCE AUX MILLE JEUX,16 - Montérégie,"3380, rue Rideau",Saint-Hubert,J3Y 5M4,"(450) 656-5005, poste 124",(450) 656-5811,info@auxmillejeux.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE AUX MILLE JEUX,16 - Montérégie,"1435, boulevard Gaétan-Boucher",Saint-Hubert,J3Z 1C8,(450) 443-1524,,info@auxmillejeux.com,CPE,62,10,CR,,1
CENTRE DE LA PETITE ENFANCE CAILLOU LAPIERRE,16 - Montérégie,"1675, rue Langevin",Saint-Hubert,J4T 1X8,(450) 462-9643,,info@cpecailloulapierre.ca,CPE,60,10,CR,,1
CENTRE DE LA PETITE ENFANCE CAILLOU LAPIERRE,16 - Montérégie,"1910, boulevard Marie",Saint-Hubert,J4T 2V8,(450) 466-5706,,,CPE,50,10,CR,,1
CENTRE DE LA PETITE ENFANCE DE LA VOIE LACTÉE,16 - Montérégie,"6801, route de l'Aéroport",Saint-Hubert,J3Y 8Y9,(450) 443-4333,(450) 926-4878,cpelvl@gmail.com,CPE,95,15,CR,,1
CENTRE DE LA PETITE ENFANCE HELLÉNIQUE PILOUPI,16 - Montérégie,"5220, rue Grande Allée",Saint-Hubert,J3Y 1A1,(450) 656-3246,,bod@cpepiloupi.com,CPE,74,0,CR,,1
CENTRE DE LA PETITE ENFANCE L'ESCOUADE DES MIOCHES,16 - Montérégie,"4490, rue de Lanaudière",Saint-Hubert,J3Y 9G7,(450) 926-3330,(450) 926-9928,cpeescouade@videotron.ca,CPE,76,10,CR,,1
CENTRE DE LA PETITE ENFANCE LA BAGUETTE MAGIQUE,16 - Montérégie,"3600, rue Paré",Saint-Hubert,J3Y 4S2,(450) 445-3311,,cpelabaguettemagique@outlook.com,CPE,48,0,CR,,1
CENTRE DE LA PETITE ENFANCE LA MARMICELLE,16 - Montérégie,"5500, rue David",Saint-Hubert,J3Z 1H8,(450) 445-4500,(450) 445-0921,info@cpelamarmicelle.com,CPE,83,15,CR,,1
CENTRE DE LA PETITE ENFANCE LES JOYEUX APPRENTIS,16 - Montérégie,"1924, boulevard Édouard",Saint-Hubert,J4T 1Z4,(450) 443-8779,,lesjoyeuxapprentis@videotron.ca,CPE,56,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES JOYEUX CALINOURS,16 - Montérégie,"4800, boulevard Davis",Saint-Hubert,J3Y 8L5,"(450) 445-2555, poste 322",,fgendron@cpeljc.com,CPE,78,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES JOYEUX CALINOURS,16 - Montérégie,"3480, rue MacKay",Saint-Hubert,J4T 2P1,"(450) 445-2555, poste 322",(450) 462-2935,fgendron@cpeljc.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES JOYEUX CALINOURS,16 - Montérégie,"3505, Grand Boulevard",Saint-Hubert,J4T 2L8,,,,CPE,47,5,CR,,1
CENTRE DE LA PETITE ENFANCE LES PETITS SEMEURS INC.,16 - Montérégie,"2401, rue Coderre",Saint-Hubert,J3Y 4N6,(450) 445-2074,(450) 445-2218,f.belanger@cpepetitssemeurs.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES PETITS SEMEURS INC.,16 - Montérégie,"3565, rue Pierre-Thomas-Hurteau",Saint-Hubert,J3Y 8S4,(450) 445-2074,(450) 445-4407,,CPE,80,10,CR,,1
CENTRE DU DÉVELOPPEMENT DE L'ENFANT MES PREMIERS PAS INC.,16 - Montérégie,"4195, boulevard Westley",Saint-Hubert,J3Y 2T1,(450) 812-8885,,garderiemespremierspas@yahoo.ca,GARD,59,15,,,1
ENFANTS FLEUR SOLEIL INC.,16 - Montérégie,"5952, chemin Chambly",Saint-Hubert,J3Y 6W9,(450) 656-0308,(450) 445-1404,efs.isa@gmail.com,GARD,95,15,CR,,1
GARDERIE DES AMIES RIME INC.,16 - Montérégie,"5110, boulevard Cousineau, #200B",Saint-Hubert,J3Y 7G5,(450) 812-7768,,garderiedesamisrime@gmail.com,GARD,75,15,,,1
GARDERIE GRANDIR C'EST MAGIQUE,16 - Montérégie,"3897, Grande Allée",Saint-Hubert,J4T 2V8,(450) 656-3999,,garderiegrandircestmagique@yahoo.com,GARD,72,10,,,1
GARDERIE LES PETITS GÉNIES AU BERCEAU 2016 INC.,16 - Montérégie,"5740, Grande Allée",Saint-Hubert,J3Y 1B2,(450) 656-5461,(450) 812-8271,garderie-2016@hotmail.com,GARD,80,5,CR,,1
GARDERIE LES PETITS GÉNIES DE ST-HUBERT,16 - Montérégie,"3150, Montée St-Hubert",Saint-Hubert,J3Y 4J3,(450) 926-0888,,stevenq12345@gmail.com,GARD,80,10,CR,,1
GARDERIE MAISON DES PETITES FLEURS,16 - Montérégie,"5950, chemin Chambly",Saint-Hubert,J3Y 6W9,(450) 878-1123,,mpf.ming@gmail.com,GARD,78,15,CR,,1
GARDERIE MIMOSA INC.,16 - Montérégie,"3126, rue Pierre-Thomas-Hurteau",Saint-Hubert,J3Y 8N9,(450) 656-5650,(450) 656-9522,garderiemimosa@me.com,GARD,80,0,CR,,1
GARDERIE PETIT GAZOU INC.,16 - Montérégie,"4220, montée Saint-Hubert",Saint-Hubert,J3Y 1V1,(450) 676-3443,,garderiepetitgazou@videotron.ca,GARD,60,0,CR,,1
GARDERIE RUBIS MAGIC INC.,16 - Montérégie,"3695, boul. Taschereau",Saint-Hubert,J4T 2G3,(450) 676-6161,(450) 676-7116,rubismagic@bellnet.ca,GARD,80,0,,,1
GARDERIE ÉDUCATIVE L'ÉDOUARD INC.,16 - Montérégie,"2095-2099, boulevard Édouard",Saint-Hubert,J4T 2A2,(438) 502-1106,,lucica.tudor@gmail.com,GARD,70,12,,,1
GARDERIE ÉDUCATIVE LES AMIS DE SAINT-HUBERT,16 - Montérégie,"7590-7600, chemin de Chambly",Saint-Hubert,J3Y 5K2,(450) 443-1682,(450) 812-8437,info@garderie-amisdesainthubert.com,GARD,54,14,,,1
GARDERIE ÉDUCATIVE LES SENTIERS DE L'ENFANCE,16 - Montérégie,"4600, rue Armand-Frappier",Saint-Hubert,J3Z 1G5,"(450) 676-2483, poste 10",,direction@sentiersdelenfance.com,GARD,80,10,,,1
GARDERIE ÉDUCATIVE RAYON DE LUNE,16 - Montérégie,"3910, montée St-Hubert",Saint-Hubert,J3Y 4K3,(450) 443-1234,,g.rayondelune@live.ca,GARD,74,0,,,1
L'ACADÉMIE DES PETITS EXPLORATEURS 2 INC.,16 - Montérégie,"5949, boulevard Payer",Saint-Hubert,J3Y 6W6,(514) 962-2725,,petitsexplorateurs2@gmail.com,GARD,69,10,,,1
